,no_tilt_capped,no_tilt_uncapped,spy_bh,static_capped,hth_capped
2025-10-06,119439.14777775403,124709.79946591485,115882.40222153104,119802.29607812176,120744.50846765694
2025-10-07,119194.70101614312,124038.22763087912,115452.76911327185,119557.10608928878,120472.4476939942
2025-10-08,120170.86615480128,125330.29499952418,116141.22002669629,120536.23920551188,121425.71386934824
2025-10-09,119336.21459189564,124092.03744605038,115804.75793910409,119699.04992945182,120643.48930529998
2025-10-10,117388.9146732207,121209.44729110191,112674.80687163025,117745.82935018168,118514.15173565825
2025-10-13,119160.21416231243,123338.41566636867,114403.69752431141,119522.51438003517,120306.18769460416
2025-10-14,118964.51625633422,122882.22110532194,114263.93569769761,119326.22146510668,120114.9020679583
2025-10-15,118905.15698620821,122510.51614600816,114771.22367961034,119266.68171631468,120128.74814312262
2025-10-16,118875.51909656194,122302.13352944897,113989.60174551891,119236.9537142601,120000.77664159927
2025-10-17,118310.94022999465,121269.82454574511,114636.64096281878,118670.65827603577,119586.45798942808
2025-10-20,120364.38896279805,124057.02058920368,115828.91652704783,120730.35040919059,121558.58548309028
2025-10-21,118803.31043169931,121732.12924907268,115827.17956588045,119164.52550283837,120177.87862293096
2025-10-22,118204.54779678195,120999.35472169501,115225.01537581327,118563.94236235612,119569.81361736079
2025-10-23,119185.1023708353,122448.30601469388,115908.2871794155,119547.47825981649,120526.51469144374
2025-10-24,119643.37090956041,122953.26062624635,116855.55589800524,120007.14013936867,121054.81352534771
2025-10-27,119997.193631462,123449.465851643,118234.1840947949,120362.03864021276,121545.91387812153
2025-10-28,119747.86897268641,122926.99346164838,118548.21396438406,120111.95592323132,121364.93321849625
2025-10-29,119313.08201641942,122106.99947131518,118605.15239874869,119675.84702062489,120986.33215851706
2025-10-30,118637.65361475982,121325.2860662215,117300.71574450447,118998.36501526294,120221.1190606124
2025-10-31,118854.07511554773,121670.10952498634,117685.49500798422,119215.44453397577,120462.20099169988
2025-11-03,118512.59780950518,120888.18134270351,117906.35385690643,118872.92898456317,120187.26715538441
2025-11-04,116989.32771415671,118612.59411075916,116508.74618199523,117345.0274684752,118657.41594287787
2025-11-05,117516.89720634316,119574.07703219308,116912.4943323699,117874.20100730781,119177.09789941566
2025-11-06,116725.66332484847,118468.86616859559,115658.10122395397,117080.5614217822,118315.44845538189
2025-11-07,117185.19061263799,119292.29326295054,115771.9675014566,117541.48587755757,118737.78955088316
2025-11-10,118925.12446448424,121452.36884075605,117578.52361901796,119286.70990463368,120511.9510889338
2025-11-11,118549.54546823686,120555.21301069223,117847.67846137442,118909.9889806626,120213.00844217572
2025-11-12,118945.77768274683,120871.75769095495,117913.24874544278,119307.4259178948,120573.14636243881
2025-11-13,117616.56438430806,119436.59850519997,115956.59376407646,117974.171217963,119144.48090098337
2025-11-14,116028.68945789535,116859.69871651748,115937.62487718153,116381.46844329909,117733.6129780396
2025-11-17,115211.88631473688,115707.67567295564,114857.48922051436,115562.1818541458,116871.46723802651
2025-11-18,115012.03869233678,115732.03499718763,113892.97798497045,115361.72660580599,116571.88985714727
2025-11-19,115049.54742435871,115482.82250504014,114332.96931287409,115399.34938110884,116661.19028375237
2025-11-20,113501.85183650117,113227.42624364863,112590.26770066698,113846.94810811646,115065.84291312621
2025-11-21,113744.50710199172,113105.46825782889,113711.8044622321,114090.34115388154,115423.80456695225
2025-11-24,115147.14659673744,114896.97057975206,115385.47245926276,115497.2452985182,116881.42010124853
2025-11-25,115604.67232713675,115151.8455230938,116470.77663452554,115956.16211127586,117424.81018834427
2025-11-26,116691.13752240772,116743.96278177996,117274.84137784663,117045.93064549734,118491.94908836138
2025-11-28,117182.41934015499,117345.30412923134,117914.97511538354,117538.70617916972,119009.20939534053
2025-12-01,115982.4691277193,115497.60492529461,117376.64424821732,116335.10758269682,117874.54749113428
2025-12-02,116783.9146498922,117105.7155112505,117594.050357258,117138.98985684449,118614.91562083438
2025-12-03,117381.4957698096,118065.88206486801,118001.25124751416,117738.387889994,119197.46162781015
2025-12-04,117152.5890807497,117629.05060588365,118087.51678841816,117508.78522246623,119004.76260672486
2025-12-05,116603.33043333917,116616.2164875633,118311.82837722183,116957.85658370044,118544.33033838929
2025-12-08,116547.16989916595,116788.94568005421,117956.38681150808,116901.52529644575,118450.0410454019
2025-12-09,117060.19086668617,117681.77685542848,117854.57334991076,117416.10607660591,118893.87286597207
2025-12-10,117126.50433519133,117548.96830276534,118636.21646645546,117482.62116764295,119050.92286118062
2025-12-11,117724.97266731881,118354.4161759371,118912.2767885749,118082.90911052351,119618.02148648817
2025-12-12,116782.08687454724,117210.7578993379,117633.72509221522,117137.15652424698,118619.1671247504
2025-12-15,116011.28023997716,115792.39442932906,117456.00430935834,116364.00629359082,117911.32348127195
2025-12-16,116263.62344144926,116303.58031830685,117135.07955123283,116617.11673098539,118095.83019554653
2025-12-17,115738.08010482191,115651.83317002485,115846.16963522867,116089.9755081288,117466.77572782533
2025-12-18,115960.34496116331,115627.46266955236,116720.96258998707,116312.91614880317,117774.62822715554
2025-12-19,116958.32430863404,117033.81794653465,117778.85667073056,117313.92979876667,118794.9193729469
2025-12-22,117620.14593930477,117835.78204692907,118512.60626045293,117977.76366248491,119475.57438205332
2025-12-23,117766.7663321392,117795.50469132228,119054.26277278103,118124.82984673236,119673.90031606158
2025-12-24,118060.11496604062,118047.10921231312,119473.05046497076,118419.07039136655,119987.28130406635
2025-12-26,118197.88672715946,118207.2277944201,119460.93410170566,118557.26104010992,120108.37335246113
2025-12-29,117034.34376260839,116770.19803930365,119035.21974729972,117390.1803857993,119019.84363939376
2025-12-30,117487.16319175494,117528.34366528968,118889.86575302514,117844.37658804853,119404.99380427167
2025-12-31,116600.30464913553,116548.96094842079,118009.01461663417,116954.82159976277,118505.73146457158
