,equal_weight,spy,struct_A,struct_B,struct_C
2025-08-13,107679.30714467404,110964.38731819231,110467.87325556588,117216.38114672479,114869.04787214502
2025-08-14,107479.59938627636,110974.70317293025,110262.99367444833,116998.9854246772,114656.00563897946
2025-08-15,107403.89502955328,110714.88979246173,110185.32880544855,116916.57599089251,114575.24650700558
2025-08-18,107367.40022176717,110690.79475187775,110147.88889328802,116876.84886585087,114536.31494314405
2025-08-19,106999.52829341017,110090.28279316488,109770.49020236386,116476.39480173307,114143.88022871483
2025-08-20,106935.7923260128,109797.76370486189,109705.10366752282,116407.01378837673,114075.88861468717
2025-08-21,106819.35148486002,109357.27458930665,109585.64736321215,116280.25987084575,113951.67302571908
2025-08-22,107945.3373916708,111036.66184871766,110740.79287574788,117505.973489538,115152.8409424018
2025-08-25,107605.25909936822,110547.97206076779,110391.90759140467,117135.77472259472,114790.05564340006
2025-08-26,107727.7656168284,111010.84043819294,110517.5866545657,117269.13154875147,114920.74191351021
2025-08-27,107877.89079878764,111263.78011257839,110671.59962152193,117432.55320343032,115080.89094465248
2025-08-28,108350.2601319379,111657.8055169064,111156.20188177003,117946.7599276821,115584.80034917778
2025-08-29,108095.01937923256,110991.91391620456,110894.35117092151,117668.91269643005,115312.51718708388
2025-09-02,107847.5492987648,110169.43102977332,110640.47236905545,117399.52437992142,115048.52354453583
2025-09-03,108286.98938288333,110766.50083983132,111091.29261301001,117877.8853367019,115517.30501609312
2025-09-04,108851.44502760911,111692.21641222836,111670.36593984875,118492.33438682165,116119.44932956454
2025-09-05,109065.66291536638,111368.73916848493,111890.13141848479,118725.52538930521,116347.97053253624
2025-09-08,109482.05948625221,111642.32114357289,112317.3113923944,119178.80188648368,116792.16987689697
2025-09-09,109590.70035940484,111900.42933655393,112428.76573328902,119297.06499880536,116908.06469448039
2025-09-10,109573.02772106994,112223.91717152398,112410.63542744439,119277.82710838925,116889.21205516881
2025-09-11,110288.2082020807,113156.52763245734,113144.33690478583,120056.35057843928,117652.14509299074
2025-09-12,110214.05166930864,113118.66399725393,113068.2599436634,119975.62605819093,117573.03713307808
2025-09-15,110729.37774149443,113720.89173468089,113596.9313916606,120536.59416704974,118122.77149546715
2025-09-16,111014.61570737624,113564.32163140479,113889.55615214845,120847.09544174124,118427.05478281975
2025-09-17,110987.50061390876,113423.22531023559,113861.7388603409,120817.57878515241,118398.12921622608
2025-09-18,110942.15557846708,113953.18910836383,113815.21952658247,120768.21757455042,118349.75649555174
2025-09-19,110822.76749454172,114517.58498426728,113692.73965488742,120638.25537920522,118222.39687659209
2025-09-22,110756.60549458841,115059.36859131498,113624.86426063589,120566.23346144217,118151.81724396367
2025-09-23,110801.32801324394,114433.04581330402,113670.74495631934,120614.91701942166,118199.52588244426
2025-09-24,110611.36136306278,114068.96180665995,113475.85874845395,120408.1251681063,117996.8751706928
2025-09-25,110329.9354548739,113542.70493785231,113187.14476634342,120101.77358214643,117696.65847189128
2025-09-26,110544.63662658614,114193.20748626029,113407.40604451699,120335.49067267579,117925.69522765795
2025-09-29,111172.47480398693,114514.13224438581,114051.5033185915,121018.93599798606,118595.45412161996
2025-09-30,111298.82684710807,114945.49172258572,114181.12749481632,121156.47894507482,118730.24268290338
2025-10-01,111772.20772230186,115337.17646582844,114666.76749296616,121671.78680287645,119235.23117007237
2025-10-02,111934.98590940748,115470.01163022601,114833.76113936653,121848.98212970475,119408.87804673785
2025-10-03,111903.03414802733,115468.30644273854,114800.98192467775,121814.20042521985,119374.79286821191
2025-10-06,112118.86622331124,115882.40222153104,115022.40339338125,122049.14858258658,119605.0360379123
2025-10-07,112009.74990594236,115452.76911327185,114910.46129571316,121930.36791631748,119488.63403073148
2025-10-08,112084.91359690853,116141.22002669629,114987.57149735958,122012.18879799207,119568.81639672907
2025-10-09,111670.86383517968,115804.75793910409,114562.79910781674,121561.46696506543,119127.12055782866
